n_reads,n_threads,finegrain_type,avg_t_calcscore,avg_t_adread,avg_t_adisum
10,5,1,3.66029e+06,3.16662e+06,2.8252e+06
10,6,1,3.97154e+06,3.36382e+06,3.01878e+06
10,8,1,4.61478e+06,3.80342e+06,3.32001e+06
10,10,1,7.12705e+06,6.10888e+06,5.56372e+06
10,1,1,9.10805e+06,8.72493e+06,7.90892e+06
10,2,1,6.87109e+06,6.21715e+06,5.62297e+06
10,4,1,4.3843e+06,3.82495e+06,3.38048e+06
10,5,1,3.97794e+06,3.40968e+06,3.0651e+06
10,6,1,3.54181e+06,3.00841e+06,2.65457e+06
10,8,1,4.71037e+06,3.9921e+06,3.52242e+06
10,10,1,6.95015e+06,5.9261e+06,5.22916e+06
10,1,1,9.07502e+06,8.72537e+06,7.92336e+06
10,2,1,7.07678e+06,6.40908e+06,5.74989e+06
10,4,1,3.93082e+06,3.50635e+06,3.0952e+06
10,5,1,3.94669e+06,3.4316e+06,3.08665e+06
10,6,1,4.81686e+06,4.19121e+06,3.83162e+06
10,8,1,4.62149e+06,3.78496e+06,3.34678e+06
10,10,1,7.24944e+06,6.31455e+06,5.75298e+06
10,1,1,9.01908e+06,8.65736e+06,7.79704e+06
10,2,1,6.97012e+06,6.30456e+06,5.66347e+06
10,4,1,4.38676e+06,3.71452e+06,3.25792e+06
10,5,1,4.1446e+06,3.55108e+06,3.18022e+06
10,6,1,3.50629e+06,2.97112e+06,2.62223e+06
10,8,1,5.55647e+06,4.49348e+06,4.0475e+06
10,10,1,9.37587e+06,8.22874e+06,7.56681e+06
10,1,1,1.27254e+07,1.22072e+07,1.10895e+07
10,2,1,7.32963e+06,6.84287e+06,6.10512e+06
10,4,1,5.58465e+06,5.04273e+06,4.43962e+06
10,5,1,4.96045e+06,4.19838e+06,3.71221e+06
10,6,1,3.86572e+06,3.27355e+06,2.91436e+06
10,8,1,5.11208e+06,4.42156e+06,3.91545e+06
10,10,1,8.09906e+06,6.92617e+06,6.26367e+06
10,1,1,1.0379e+07,9.96218e+06,9.02395e+06
10,1,1,9.81183e+06,9.42387e+06,8.57349e+06
10,2,1,6.23406e+06,5.75696e+06,5.02237e+06
10,4,1,4.33984e+06,3.79942e+06,3.29067e+06
10,5,1,4.54565e+06,3.85764e+06,3.45031e+06
10,6,1,3.55326e+06,3.05973e+06,2.68816e+06
10,7,1,4.35044e+06,3.76995e+06,3.33963e+06
10,8,1,5.03472e+06,4.07926e+06,3.61222e+06
10,10,1,7.7259e+06,6.62284e+06,6.0122e+06
10,16,1,8.58204e+06,7.50576e+06,6.73056e+06
10,32,1,1.11066e+07,1.02771e+07,9.37674e+06
10,64,1,1.60825e+07,1.51821e+07,1.39075e+07
10,1,1,9.56704e+06,9.20508e+06,8.37277e+06
10,2,1,5.97295e+06,5.57961e+06,4.97584e+06
10,4,1,5.18499e+06,4.42803e+06,3.94169e+06
10,5,1,4.21416e+06,3.65093e+06,3.23531e+06
10,6,1,4.1783e+06,3.44614e+06,3.08049e+06
10,7,1,4.80499e+06,4.18838e+06,3.7475e+06
10,8,1,4.9849e+06,3.75831e+06,3.29577e+06
10,10,1,7.42822e+06,6.44352e+06,5.84847e+06
10,16,1,9.05432e+06,8.10271e+06,7.30698e+06
10,32,1,1.11751e+07,1.02375e+07,9.29244e+06
10,64,1,1.61307e+07,1.52498e+07,1.38717e+07
10,1,1,9.55029e+06,9.17097e+06,8.31907e+06
10,2,1,5.65415e+06,5.27479e+06,4.73053e+06
10,4,1,5.05103e+06,4.30535e+06,3.83194e+06
10,5,1,4.64711e+06,3.98065e+06,3.60038e+06
10,6,1,4.28998e+06,3.4025e+06,3.01087e+06
10,7,1,3.98005e+06,3.33538e+06,2.91725e+06
10,8,1,4.42511e+06,3.80482e+06,3.35265e+06
10,10,1,7.44458e+06,6.42761e+06,5.78052e+06
10,1,1,9.29223e+06,8.92907e+06,8.0821e+06
10,2,1,6.59095e+06,6.02115e+06,5.4009e+06
10,4,1,4.82601e+06,4.07093e+06,3.50494e+06
10,5,1,4.40389e+06,3.64364e+06,3.256e+06
10,6,1,3.92837e+06,3.3378e+06,2.94216e+06
10,7,1,4.19222e+06,3.24518e+06,2.81987e+06
10,8,1,4.62332e+06,3.91755e+06,3.47098e+06
10,10,1,7.43268e+06,6.46047e+06,5.76714e+06
10,16,1,8.51733e+06,7.59696e+06,6.85669e+06
10,32,1,1.27362e+07,1.14238e+07,1.05151e+07
10,64,1,1.68998e+07,1.60536e+07,1.44932e+07
10,1,1,9.3752e+06,9.00467e+06,8.142e+06
10,2,1,6.14684e+06,5.7148e+06,5.07007e+06
10,4,1,4.69401e+06,4.11801e+06,3.60138e+06
10,5,1,4.53041e+06,3.92384e+06,3.4854e+06
10,6,1,5.41127e+06,4.77348e+06,4.33599e+06
10,7,1,5.01847e+06,4.35963e+06,3.93818e+06
10,8,1,5.52667e+06,4.60033e+06,4.00314e+06
10,10,1,9.96874e+06,8.49077e+06,7.71442e+06
10,16,1,1.24137e+07,1.10443e+07,9.81056e+06
10,32,1,1.54435e+07,1.43267e+07,1.30424e+07
10,64,1,1.68412e+07,1.55637e+07,1.37373e+07
10,1,1,9.31368e+06,8.94587e+06,8.07924e+06
10,2,1,5.55948e+06,5.2029e+06,4.68206e+06
10,4,1,5.04718e+06,4.39998e+06,3.88874e+06
10,5,1,4.29996e+06,3.55053e+06,3.11797e+06
10,6,1,4.45178e+06,3.88163e+06,3.50406e+06
10,7,1,4.70825e+06,4.02477e+06,3.65462e+06
10,8,1,4.91742e+06,4.02612e+06,3.53487e+06
10,10,1,7.56086e+06,6.61935e+06,5.92325e+06
10,16,1,9.36817e+06,8.40346e+06,7.61343e+06
10,32,1,1.08763e+07,9.96023e+06,9.05934e+06
